,Unnamed: 0,News,Label
1375,1225,Family of Armed Robbery Suspect Outraged Pizza Hut Employee Shot & Killed Their Son,FALSE
1027,877,Here's why moderate Republicans aren't running for Congress anymore,TRUE
939,789,Trump: I wouldn't accept Cruz's endorsement,TRUE
1082,932,Democratic convention: passionate end to day one steadies early drama,TRUE
754,604,"Russia, India will expand military cooperation with focus on Navy projects | Russia & India Report",FALSE
265,115,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,TRUE
989,839,US faces calls to walk away from Iran talks,TRUE
1323,1173,Cop Caught on His Own Body Camera Stealing Money From Unconscious Crash Victim,FALSE
1319,1169,"Shift in Cuba politics boosts Obama, challenges Rubio",TRUE
847,697,A whirlwind day in D.C. showcases Trumps unorthodox views and shifting tone,TRUE
408,258,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist  New York Malpractice & Injury Lawyer Blog,FALSE
458,308,NAZI Flying Saucers & A Permanent Base in Antarctica,FALSE
685,535,Biden backers to naysayers: Not so fast,TRUE
1359,1209,Mitt Romney to give big speech on 2016 race. Joining #NeverTrump? (+video),TRUE
1415,1265,"Amid campaign troubles, Trump blasts Clinton as 'world-class liar'",TRUE
1191,1041,5 takeaways from the first presidential debate,TRUE
124,124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",TRUE
723,573,The True Scandal of 2016 Was The Torture of Chelsea Manning     :,FALSE
549,399,Clinton Picks Up The First Major Labor Endorsement Of 2016,TRUE
168,18,What's in that Iran bill that Obama doesn't like?,TRUE
1160,1010,Iran talks to be extended another day,TRUE
1409,1259,"Slow start for program to reduce vets' waits at Veterans Affairs facilities, offer private medical care",TRUE
1274,1124,WIKILEAKS : Hillary Receiving Donations from Radical Muslims in Turkey  TruthFeed,FALSE
927,777,FREE Summit from Health Experts Teaches About Healthy Fats to Reverse Disease and Lose Weight,FALSE
1436,1286,Photo of the day: Miss Russia at the international beauty contest in Tokyo,FALSE
859,709,Bernie's swan song begins,TRUE
1236,1086,The Latest ABC/WaPo Poll Has the Hillary Campaign Sounding the Alarms,FALSE
398,248,Trump mulls alternative options for making Mexico finance 'the wall',TRUE
643,493,The end of white Christian America is nigh: Why the countrys youth are abandoning religious conservatism,TRUE
87,87,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,TRUE
364,214,Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',TRUE
980,830,"Former Miss Finland accuses Trump of sexual assault, bringing number of accusers to 12",FALSE
375,225,US Airstrikes on Iraqi Army Slowing Advance on Mosul,FALSE
621,471,"Press must share the blame: The shallow, ratings-obsessed media is as responsible for Trump as the GOP",TRUE
537,387,How Trump And Clinton Are Framing Their Closing Arguments,TRUE
1423,1273,Sniff your underarms and tell us if you stink...,FALSE
831,681,Huffington Post Continues Campaigning for Hillary Clinton,FALSE
954,804,The Empire Files: Inside Palestine's Refugee Camps,FALSE
763,613,3 dead in Colorado Springs Planned Parenthood shooting,TRUE
603,453,Why the DNC's mysteriously hacked oppo file on Trump is a big yawn,TRUE
660,510,"Meteor, space junk, rocket? Mysterious flash hits Siberia",FALSE
1368,1218,The She-Devil,FALSE
684,534,"Obama outlines plan to keep 5,500 troops in Afghanistan",TRUE
177,27,Donald Trump Is Changing His Campaign Slogan to Prove Hes Not Racist,TRUE
1026,876,Town in Wisconsin Passes Law That Fines Parents of Bullies,FALSE
802,652,Trumps Twitter Access Revoked - The Onion - America's Finest News Source,FALSE
769,619,Congress Knew For At Least Two Years About Pentagon Efforts To Take Back Bonuses From Veterans,FALSE
858,708,"Syrian War Report  November 7, 2016: Russian Attack Helicopters Swarm in Homs Province | The Vineyard of the Saker",FALSE
1346,1196,Kasich: My Republican Party doesnt like ideas,TRUE
192,42,Homeless Woman Protects Trumps Walk of Fame Star From Violent Leftists,FALSE
292,142,Poll: 71 percent of Dems think Clinton should keep running even if indicted,TRUE
289,139,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,FALSE
1263,1113,Dems File Complaint w/DOJ Against FBI for Investigating Hillary,FALSE
490,340,The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,TRUE
1104,954,This Irish TV channel killed their weather presenter for Halloween,FALSE
1355,1205,Rubio reignites Cuba debate with Senate hearing,TRUE
1261,1111,"Jebs Sad, Quixotic South Carolina Slog",TRUE
462,312,Rand Paul is flatlining,TRUE
639,489,THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT,FALSE
235,85,King: Fill the Supreme Court vacancy,TRUE
1146,996,GOP Debate Round 3: Expect Another Wild Night,TRUE
476,326,The Real Reason Obamacare is Coming Unglued,FALSE
1048,898,'There appear to be no rules anymore',TRUE
1385,1235,Standing Rock Indian Reservation: Thousands Of Wild Buffalo Appear Out Of Nowhere,FALSE
479,329,Iraqs Skies Darken as Islamic State Torches Oil,FALSE
1066,916,Michael Bloomberg Names Technological Unemployment as the Next Administrations Greatest Conundrum,FALSE
176,26,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,TRUE
702,552,Doctor Finds New Life As A Clown More Fulfilling | GomerBlog,FALSE
720,570,"Rating Obama, 50% say he's been a success",TRUE
1343,1193,Poll gives Biden edge over Clinton against GOP candidates; VP meets with Trumka,TRUE
432,282,Gay rights and religious liberty: Can Americans have both?,TRUE
514,364,Black Hawk crashes off Florida; human remains found,TRUE
1075,925,Robert Durst of HBO's 'The Jinx' charged with murder,TRUE
1105,955,Scientists Claim To Have Found 234 Alien Civilizations,FALSE
914,764,"Here come the jobs, finally",TRUE
445,295,Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,TRUE
1468,1318,Magnificent Jellyfish Gardens Purify The Water While Growing Food,FALSE
1379,1229,Pentagon Seeks Another $6 Billion for Overseas Troop Deployments,FALSE
1149,999,GLOBAL WARMING ALARMISTS DISAPPOINTED THAT HURRICANE MATTHEW WASNT WORSE,FALSE
175,25,Anti-Trump forces seek last-ditch delegate revolt,TRUE
164,14,"Trump takes on Cruz, but lightly",TRUE
585,435,"Cruz camp responds to Rubio Photoshop flap, brushes off criticism",TRUE
1018,868,4 Truly Important Items for Your Post-Election List of Things to Protest,FALSE
701,551,#BoycottComedianROBERT DENIRO Wanted To Punch Trump In The FaceSupports Anti-Trump RiotersNow Wants Americans To Support His New Movie [VIDEO],FALSE
1158,1008,"Hillary Isnt Only One Who Suffers Memory Loss, Look What Bill Just Did.",FALSE
886,736,What Brian Williamss Chopper Whopper Says About Modern News Media,TRUE
829,679,Stop the vendetta against Planned Parenthood,TRUE
389,239,GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,FALSE
287,137,The next president can have a big impact on climate policy  even without Congress,TRUE
301,151,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,FALSE
650,500,Why conservatives refuse to believe Obama is Christian,TRUE
767,617,AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation,FALSE
876,726,Wife of Muslim jihadist who killed and wounded over 100 in Orlando nightclub massacre says she knew nothing,FALSE
721,571,"James Comey to be taken out, knows too much about Clintons",FALSE
1007,857,Election 2016 and the Growing Global Nuclear Threat,FALSE
1171,1021,Migrants Refuse To Leave Train At Refugee Camp In Hungary,TRUE
365,215,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,TRUE
1122,972,"First Iraqi Troops Enter Mosul, But Fighting Remains Largely in Suburbs",FALSE
273,123,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",FALSE
557,407,Comment on Mayor de Blasio claims hot dog carts are causing global warming by Dr. Eowyn,FALSE
8,8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",TRUE
788,638,Why raising the Social Security retirement age really does hurt the poor the most,TRUE
214,64,Rubios parting shot at Trump,TRUE
959,809,Comment on Sheriff Says Cannabis Makes People Murderers Because Rational Thought Leads to Violence by Isaid Dilligaf,FALSE
465,315,"Cruz copying me on border wall, Trump says",TRUE
158,8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,TRUE
431,281,Representative Government or Thugocracy?,FALSE
136,136,Oregonians have an amazing no-cost way to fight abortion with free political donations,TRUE
625,475,"Muslims Start Chanting Allah On Plane, Flight Attendant Quickly Shuts Them Up",FALSE
1017,867,What 'Draw Muhammad' shootings say about Islamic State reach (+video),TRUE
1068,918,Where Donald Trump and Hillary Clinton stand on economic issues,TRUE
491,341,"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",TRUE
437,287,Pro-Palestinian Propaganda Lowering Standards of Truth in America,FALSE
1473,1323,Gowdy reveals subpoena Clinton claims she 'never had',TRUE
1310,1160,How far can campaigns go to win support from a Republican delegate?,TRUE
259,109,What happens if Clinton drops out?,TRUE
811,661,Why Hillary Clinton Will Appoint Old World Nationalists to Cabinet Positions,FALSE
1345,1195,Pope Francis address to Congress: what it means for six Catholic lawmakers (+video),TRUE
223,73,Should I Get Botox?,FALSE
311,161,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,FALSE
630,480,How the confidence deficit is impacting the 2016 election,TRUE
1213,1063,"Blog: If Donald Trump Pardons Me, I Would Be Honored To Serve As Secretary Of Agriculture",FALSE
323,173,"Syrian War Report  November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",FALSE
1287,1137,The Sad Evolution Of Education Summed Up By One Meme,FALSE
1380,1230,The Most Interesting Chart In The World  Part 2,FALSE
873,723,Trick-Or-Treaters Get Their Socks Rocked By BADASS Hillary Pumpkin Outside,FALSE
79,79,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,TRUE
1100,950,The Sex Scandal That Could Change The Election,FALSE
1101,951,Obama administration announces halt on new coal leases,TRUE
735,585,Why Trump is still likely to fall 52 delegates short of nomination,TRUE
234,84,Mitt Romney's Re-Invention As Anti-Poverty Warrior,TRUE
1356,1206,Lester Holt: presidential debate moderator and proven fact-checker,TRUE
741,591,Top US General Pleads With Troops Not To Revolt Over 2016,FALSE
564,414,"Hillary Clinton narrowly wins Kentucky, a state Bernie Sanders needed by huge margins",TRUE
1042,892,Checking a claim that 'nobody did anything wrong' on Benghazi,TRUE
140,140,Mr. Caprio is a career politician who has never worked in the private sector.,FALSE
483,333,George W. Bushs Ethics Lawyer Files Complaint Against FBI Director James Comey,FALSE
379,229,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear  On The Fence About Vaccines,FALSE
1469,1319,Here's why creating single-payer health care in America is so hard,TRUE
1459,1309,The Reopening Of The Clinton Email Investigation Is More GOP Hype Over Nothing,FALSE
839,689,MARKETWATCH LEFTIST: MSMs Blatant Anti Trump Bias May Be Suicidal,FALSE
1169,1019,Political Correctness for Yuengling Brewery; What About Our Opioid Epidemic?,FALSE
1184,1034,"Monsanto Behind 4-Years-in-the-Making, Failed Peace Deal in Colombia",FALSE
647,497,Hacking Accusations Against Russia Are Sign of Washington's Desperation,FALSE
363,213,"The Week In Pictures  Week Of October 31, 2016 - The Onion - America's Finest News Source",FALSE
592,442,"Neighbors Smell Smoke At Muslim Home, What They See In Window Is Horrific",FALSE
1086,936,Cruz blasts Trump as phony conservative in front of CPAC crowd,TRUE
599,449,Joe Giambrone on Hollywoods Shameless & Underhanded Assault on Political Truth,FALSE
246,96,Give Social Security recipients a CEO-style raise,TRUE
1384,1234,Bernie Sanders Has Strength Among White Men Pinched By The Economy,TRUE
213,63,Hillary Clinton: The criminal investigation keeps moving forward,TRUE
1016,866,Did Trump Make a Secret Deal NOT To Prosecute Hillary In Exchange for Her Concession?,FALSE
1137,987,Gold prices on the way to all-time highs,FALSE
932,782,14 Days and Counting-There Will Be a Civil War No Matter Who Wins the Election,FALSE
411,261,Buchanan Smashes CNN Shill,FALSE
513,363,2016's first GOP debate: Six things to look for in Charleston,TRUE
992,842,Sex and the Presidential City,FALSE
1106,956,I Am A Syrian Living in Syria: It was Never a Revolution nor a Civil War. The Terrorists are sent by your Government,FALSE
947,797,Cruz's immigration gambit,TRUE
674,524,"Trump, Clinton Head Into SC with Fierce Competition on Their Heels",TRUE
356,206,"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",FALSE
679,529,Donald Trump: We have to take back the heart of our country,TRUE
1421,1271,"Donald Trump triumphs in Michigan and Mississippi. Onward, reality show junkies",TRUE
333,183,Why Joe Biden can't get no respect,TRUE
700,550,Will Asia trade deal hurt US workers? Six tough questions answered.,TRUE
766,616,Fiorina blames environmentalists for California drought,TRUE
1446,1296,"Kiev officials forced to declare incomes, Ukrainians threaten revolt",FALSE
119,119,"About half of the presidents have been governors; half of them, senators.",FALSE
353,203,This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FALSE
566,416,49 killed in shooting at Florida nightclub in possible act of Islamic terror,TRUE
152,2,Kerry to go to Paris in gesture of sympathy,TRUE
962,812,The REAL REASON Hillary Was Not Prosecuted For Her Email Scandal Will Infuriate You,FALSE
634,484,Like a Concentration Camp Police Mark DAPL Protesters with Numbers and Lock Them in Dog Kennels,FALSE
404,254,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",TRUE
819,669,Fall of the House of Bush: How last name and Donald Trump doomed Jeb,TRUE
1182,1032,"South Carolina, Nevada polls find Clinton far ahead",TRUE
1154,1004,Why LeBron Jamess Endorsement Could Help Clinton Retake Ohio,TRUE
419,269,Lynch schools the wingnuts: How the right tried  and failed  to wound Obamas AG nominee,TRUE
1349,1199,"Minnesota Man Arrested, Sentenced to 6-Months in Jail for Having a Windmill On His Property",FALSE
983,833,A sharp exchange over election-year polling offers thoughts for the rest of us,TRUE
118,118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",FALSE
1372,1222,Enrique Marquez: I got rifles for San Bernardino killer,TRUE
1292,1142,Angela Merkel to Visit White House on Feb. 9,TRUE
318,168,"Bernie Sanderss vast universe of donors, mapped",TRUE
50,50,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,FALSE
1363,1213,How The Oligarchs Plan To Steal The Election,FALSE
993,843,San Bernardino massacre: A horror that affects us all,TRUE
1054,904,Julian Assange: Why We Published What We Have on the US Elections,FALSE
167,17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FALSE
1142,992,Show biz: Business and breakthroughs,FALSE
66,66,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",TRUE
1471,1321,The Iran Deal and the Cost of Political Polarization | RealClearPolitics,TRUE
1428,1278,Donald Trump v Bernie Sanders: confusion reigns over possible debate,TRUE
887,737,"Republicans have little reason to act on immigration  both today, but also before the 2016 primaries",TRUE
1111,961,"Death of millions of Yemenis in the ""forgotten war""",FALSE
828,678,"More Beer, Less Vodka as Russians Mull Ongoing Crisis - Rustem Falyakhov",FALSE
972,822,Dad in weird mood since 2004,FALSE
112,112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",TRUE
501,351,Physical Gold Demand and Fear,FALSE
1092,942,Were All Going To Lose On November 8th: Get Prepped With This Post-Election Chaos Checklist (VIDEO),FALSE
848,698,"Andrew Maguire  Paper Gold Market Trades Jaw-Dropping 6,800 Tonnes In One Day!",FALSE
1164,1014,Election 2016: Clinton email stumble fuels Dem critics,TRUE
1008,858,"How Barack will juggle Bibi, Vlad and Hillary",TRUE
1416,1266,"Mitt Romney: Donald Trump is a 'phony, a fraud'",TRUE
1033,883,The Limitations of Randomised Controlled Trials,FALSE
297,147,The FBI intervenes in the 2016 election,FALSE
968,818,Clinton braces for Nevada nail-biter,TRUE
1074,924,"Wall Street, Hollywood, The Media And SJWs Fail To Stop Donald Trump From Becoming Americas 45th President",FALSE
1121,971,Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,FALSE
940,790,Confirmed: Public overwhelmingly (10-to-1) says media want Hillary to win,FALSE
1373,1223,Project Veritas: Scott Foval Reveals Who Was Really Behind the Romney 47% Video,FALSE
1472,1322,A Book Too Dangerous To Read,FALSE
743,593,Poll: Obama popularity on the upswing,TRUE
1089,939,BRICS Countries to Invest $500 Million in Russian Gold Deposit - Kira Egorova,FALSE
345,195,Chris Christie losing home-state donors as Jeb Bush makes inroads,TRUE
135,135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,FALSE
745,595,Is A Birthday Surprise Coming For Hillary Criminalton? Kim Dotcoms Mysterious Tweet.,FALSE
331,181,Iran carries out new ballistic missile test,TRUE
260,110,Brothers ID'd as suicide bombers in Belgium,TRUE
598,448,"McCarthy withdraws from speaker race, vote postponed",TRUE
1002,852,Trump Expected to Name Running Mate Soon: Looking for an 'Attack Dog',TRUE
413,263,America After Election 2016: the Gullible and the Shattered - David Kerans,FALSE
1257,1107,"Obama's Presidential Library Will Be In Chicago, Foundation Announces",TRUE
1302,1152,Nuclear weapons: how foreign hotspots could test Trumps finger on the trigger,FALSE
1370,1220,The Democrats arent doomed: What I learned from Bernie delegates in Philadelphia,TRUE
533,383,"Cleveland, Justice Department Reach Policing Deal",TRUE
71,71,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",FALSE
388,238,"MH370: If debris is part of missing plane, what's next?",TRUE
16,16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,TRUE
396,246,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FALSE
1318,1168,High Court Ruling Against Gay Marriage Would Produce 'Chaos',TRUE
24,24,Says Mitt Romney wants to get rid of Planned Parenthood.,FALSE
7,7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",TRUE
750,600,How To Reduce Stress,FALSE
688,538,Re: Texas Police Arrest Trump Voter for Wearing Deplorable T-Shirt,FALSE
1430,1280,North Dakota Police Arrest Over 140 Pipeline Protesters,FALSE
1389,1239,Someone left a funny note asking the postman to move a spider,FALSE
912,762,First Contact Film Trailer,FALSE
930,780,Forget Wikileaks...this is the real October Surprise that is going to stop Hillary,FALSE
207,57,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FALSE
615,465,How public funding of elections makes politics even more polarized,TRUE
1476,1326,"US Officials, FBI See No Link Between Trump and Russia",FALSE
1014,864,Cop Versus Two Informed Teens who Refuse to Submit to an Unlawful Detainment,FALSE
401,251,Trump Has Forever Changed American Politics,FALSE
209,59,Detroit womens Halloween decorations depict real-life horrors  such as shootings police by police,FALSE
1227,1077,Three Ways to Recharge Your Energy Using Crystals,FALSE
354,204,Americans Are So Disconnected From Reality That Insouciant Has Become An Euphemism,FALSE
753,603,Hillarys No Slam Dunk in 2016,TRUE
922,772,Illegal Immigrants Could Elect Hillary,TRUE
1369,1219,Can Hillary rebuild her campaign with an upbeat message? And will anyone even notice?,TRUE
498,348,Manhunt for escaped killers expands to Vermont,TRUE
337,187,"Michael Moore admits no women ever melted the ice caps, bombs American history",FALSE
1044,894,"Palins endorsement the latest prize as Trump, Cruz battle for conservatives",TRUE
963,813,Why Rachel Dolezal's assertion that she is black could pave way for folks choosing a 'racial identity',TRUE
894,744,Admit it: You love Tax Day! (Opinion),TRUE
597,447,"Paul Ryans big speaker hangup is reportedly his family. For a male lawmaker, thats unusual.",TRUE
1186,1036,Non-mainstream poll shows Trump poised to win with 76% chance,FALSE
1162,1012,Billionaire Donald Trumps Presidential Campaign Is Flat Out Broke,FALSE
817,667,A guide to the Paradoxroutine,FALSE
1123,973,SHOCK VIDEO : Hillary Needs Help Climbing ONE SINGLE STEP in Florida  TruthFeed,FALSE
146,146,Barack Obama has never even worked in business.,FALSE
78,78,Says Charlie Crist supports cuts to the Medicare Advantage program.,FALSE
452,302,The system set Boehner up for failure,TRUE
19,19,"Almost 100,000 people left Puerto Rico last year.",TRUE
51,51,"Maggie Hassan raised tuition, making it the highest in America.",FALSE
208,58,Donald Trump: Hillary Clinton has 'caused tremendous death',TRUE
1120,970,Leaked email shows Monsanto Executive V.P. invited to 'Hillraiser' fundraiser to put Clinton into the White House for Monsanto's benefit,FALSE
1084,934,It Turns Out Trump Put off Investigators for 6 Months While He Destroyed Emails,FALSE
662,512,Why is it the first time Im hearing about this? asks office wanker,FALSE
1096,946,Senators Seek Living Wage for Capitol Hill Contractors,TRUE
1222,1072,Hillary Clinton speech to attack Donald Trump's 'dangerous' foreign policy plans,TRUE
842,692,"The Left Turns on Bob Dylan for His Pro-Israel Views, Refusal to Acknowledge Nobel Prize",FALSE
740,590,"India's Stonehenge: 7,000-Year-Old Megalithic Site is Oldest Observatory in South Asia",FALSE
1458,1308,21 dead at Radison Blu hotel in Mali,TRUE
709,559,Georgia Abandons Ukraine's Anti-Russian Obsession - Archil Sikharulidze,FALSE
500,350,To the Youth a Day After the Election: Another World Is Possible,FALSE
1235,1085,4 Things The New Hampshire Primary Will Tell Us,TRUE
694,544,Donald Trump Pushes Republican Party to Its Breaking Point,TRUE
807,657,Israel hawks to Pope Francis: Stay out of politics,TRUE
910,760,Boy With Autism Makes His First Friend Ever And His Mom Cant Stop Crying,FALSE
966,816,It isnt Islamophobia when an Oklahoma GOP State Rep. says Islam is a cancer in our nation that needs to be cut out,FALSE
98,98,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",TRUE
1477,1327,They Dont Speak For Me  Evangelical PhD SLAMS Religious Right Leaders Supporting Trump,FALSE
941,791,"Mitt Romney Calls Donald Trump 'A Phony, A Fraud'; Trump Hits Back",TRUE
336,186,Leaked: Whats in Obamas trade deal,TRUE
935,785,Southern Poverty Law Center Targets Anti-Jihad Crusaders (Ann Corcoran Honored!),FALSE
1400,1250,Honor Our Immigrant Veterans Replayed,FALSE
477,327,How Jeb Bush can avoid being the Jon Huntsman of 2016,TRUE
784,634,How Democrats killed Obama's college savings plan,TRUE
509,359,Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,FALSE
1199,1049,"Comment on Voting Is Rigged & Used To Pacify The Public Says Three-Time US Presidential Candidate Ron Paul by Anonymous: There Is No One Way To Live On This Planet, But We Can Be Harmonious  Collective Evolution",FALSE
926,776,Cruz campaign: We could have stopped Trump if Rubio became running mate,TRUE
351,201,"Trump slams 'corrupt' media, as more women make sexual assault claims",TRUE
418,268,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trumps 40%,FALSE
275,125,"Bush, Rubio and Kasich eye one another in the shadow of Trump",TRUE
317,167,Fifteen Quotes Proving False Flag Terrorism & the Existence of a Shadow Government,FALSE
468,318,Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],FALSE
195,45,Obama makes the right call to tough it out in Afghanistan,TRUE
241,91,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FALSE
36,36,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,TRUE
83,83,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,FALSE
990,840,Netanyahu warns supporters he may lose in Tuesdays election,TRUE
249,99,How Ted Cruz Became Ted Cruz,TRUE
141,141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",FALSE
242,92,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",TRUE
201,51,"3 Effects of Substance Abuse on Individual, Family and Community",FALSE
977,827,"Head Of Medicare, Who Oversaw Obamacare Rollout, Will Step Down",TRUE
73,73,The only time in our history when the debt has been higher than this was the end of World War II.,TRUE
1341,1191,Dr. Duke and Andrew Anglin discuss the most important vote and election of our lives!,FALSE
610,460,Training French soldiers to supervise Daesh,FALSE
1029,879,Iowa nightmare revisited: Was correct winner called on caucus night?,TRUE
614,464,A bad night for front-runners and a good night for governors,TRUE
869,719,We told you so! The Zika virus is harmless,FALSE
